Symbol,Company Name,P/E (Price/TTM Earnings),PEG Ratio,EPS Growth (Proj This Yr vs. Last Yr),Institutional Ownership,Institutional Ownership (Last vs. Prior Qtr)
BANC,Banc of California ,27.2,0.0,52.75,97.2832,1.4112
FRAF,Franklin Financial Services ,14.2,0.0,0.0,0.0,3.244
FRBKQ,Republic First Bancorp ,0.0,0.0,0.0,0.1222,0.0
FRME,First Merchants ,11.8,0.0,26.2215,74.275,2.352
FSDK,First Citizens National Bank,0.0,0.0,0.0,0.0,0.0
FULT,Fulton Financial ,11.4,0.0,0.86486,76.8609,3.5873
FUNC,First United ,9.5,0.0,19.04762,43.8084,4.6688
BFC,Bank First ,15.6,0.0,7.24031,32.3905,7.2639
FXNC,First National /VA,22.1,0.0,125.5,0.0,38.9383
GABA,Georgia Bancshares ,0.0,0.0,0.0,0.0,0.0
GABC,German American Bancorp ,13.3,0.0,15.79505,43.4813,2.8036
GBCI,Glacier Bancorp ,26.5,0.0,33.45238,82.3079,1.4925
GCBC,Greene unty Bancorp ,14.8,0.0,0.0,14.9505,-2.1653
CFBK,CF Bankshares ,10.6,0.0,0.0,38.5334,31.8633
GFCJ,Guaranty Financial ,0.0,0.0,0.0,0.0,0.0
GLBZ,Glen Burnie Bancorp,0.0,0.0,0.0,6.9144,24.4441
GNTY,Guaranty Bancshares ,14.8,0.0,10.58394,28.8475,9.5839
GOVB,Gouverneur Bancorp ,0.0,0.0,0.0,0.0,0.0
GSBC,Great Southern Bancorp ,10.6,0.0,-0.89354,44.3013,1.7882
SFST,Southern First Bankshares ,17.4,0.0,39.79058,79.0655,2.1698
HACBY,Hachijuni Bank Ltd,0.0,0.0,0.0,0.0,0.0
HAFC,Hanmi Financial ,11.0,0.0,20.19512,90.4537,1.1879
HARL,Harleysville Financial ,0.0,0.0,0.0,1.4246,20.1679
HBAN,Huntington Bancshares ,12.5,2.28898,14.18033,84.6027,2.5591
HWC,Hancock Whitney ,10.0,0.0,1.98864,86.2745,3.7494
HBNC,Horizon Bancorp ,19.1,0.0,4.88235,69.7437,4.0575
HFBL,Home Federal Bancorp/LA,12.0,0.0,0.0,8.6456,4.0955
HFWA,Heritage Financial ,19.8,0.0,62.74194,81.4438,0.1856
HIFS,Hingham Institution for Savings,18.8,0.0,0.0,56.2432,7.9618
HTBK,Heritage mmerce ,14.4,0.0,20.15152,76.1813,0.3962
IBCP,Independent Bank ,9.7,0.0,-1.61392,83.9747,-0.5721
IBOC,International Bancshares ,9.5,0.0,0.0,67.3793,1.9176
ISBA,Isabella Bank ,12.7,0.0,22.41935,0.0067,100.0
INDB,Independent Bank .,13.9,0.0,17.03297,83.3137,3.4953
MOFG,MidWestOne Financial Group ,0.0,0.0,0.0,79.7367,3.343
JDVB,JD Bancshares ,6.3,0.0,0.0,1.5413,252.615
JFBC,Jeffersonville Bancorp,0.0,0.0,0.0,0.0,0.0
JBTC,JBT Bancorp ,0.0,0.0,0.0,0.0,0.0
JUVF,Juniata Valley Financial ,9.9,0.0,0.0,0.0,0.0
KEFI,Keweenaw Financial ,9.2,0.0,0.0,0.0,0.0
KFFB,Kentucky First Federal Bancorp,0.0,0.0,0.0,2.6931,7.5668
KISB,Kish Bancorp ,6.5,0.0,0.0,0.0,0.0
KRNY,Kearny Financial ,0.0,0.0,0.0,62.6163,0.9232
KTHN,Katahdin Bankshares ,9.6,0.0,0.0,0.0,0.0
LARK,Landmark Bancorp ,12.1,0.0,0.0,19.5804,5.5685
LCNB,LCNB ,15.5,0.0,64.43299,37.4391,5.7982
LKFN,Lakeland Financial ,16.4,0.0,2.86501,83.1573,3.0405
MBCN,Middlefield Banc ,14.2,0.0,0.9375,33.618,2.5296
SOHI,Sortis Holdings ,0.0,0.0,0.0,0.0437,0.0
MPB,Mid Penn Bancorp ,9.0,0.0,-2.06897,50.7789,32.8915
MBVA,Millennium Bankshares ,0.0,0.0,0.0,0.0,0.0
MBWM,Mercantile Bank ,8.9,0.0,-2.00811,63.2821,3.2285
MNAT,Marquette National ,0.0,0.0,0.0,0.0,0.0
MTB,M&T Bank ,12.3,2.64953,11.02459,87.5781,-0.0919
MVBF,MVB Financial ,11.3,0.0,-21.37255,0.0,8.6065
MVLY,Mission Valley Bancorp,0.0,0.0,0.0,5.1927,-7.9474
HOPE,Hope Bancorp ,12.8,0.0,13.29412,89.5125,0.9639
NASB,NASB Financial ,9.4,0.0,0.0,0.0,0.0
NBN,Northeast Bank,10.6,0.0,36.01583,53.4259,3.2636
NBTB,NBT Bancorp ,14.4,0.0,17.17687,66.4608,8.3422
NKSH,National Bankshares ,21.4,0.0,89.97575,31.6081,5.7549
NRIM,Northrim Ban ,11.3,0.0,21.74242,69.057,0.7609
NWFL,Norwood Financial .,0.0,0.0,29.79275,38.2654,60.0425
FNWD,Finward Bancorp,10.2,0.0,-60.91549,0.0,15.0241
NWBI,Northwest Bancshares ,15.4,0.0,2.69231,67.714,2.5375
FLG,Flagstar Financial ,0.0,0.0,86.8797,85.9258,34.3208
OCFC,OceanFirst Financial .,10.4,0.0,-2.625,73.2584,2.5058
OFG,OFG Bancorp,9.5,0.0,-3.90071,94.0533,-1.0636
ONB,Old National Bancorp,12.7,0.0,11.55914,95.2825,15.7629
OPHC,OptimumBank Holdings ,3.0,0.0,-45.86466,0.0,6.2042
OPOF,Old Point Financial ,15.9,0.0,0.0,32.4875,0.8479
OBT,Orange unty Bancorp ,9.6,0.0,17.44939,0.0,1.4796
ORRF,Orrstown Financial Services ,20.1,0.0,7.12766,55.0228,2.6425
OSBC,Old Second Bancorp ,9.0,0.0,-0.85561,71.4141,1.4185
OVBC,Ohio Valley Banc .,12.3,0.0,0.0,16.0189,4.7187
OVLY,Oak Valley Bancorp,8.5,0.0,0.0,32.5041,1.7166
OZK,Bank OZK,7.1,0.0,-3.50163,92.3366,0.0713
PABN,Panamerican Bancorp-Old,0.0,0.0,0.0,0.0,0.0
PBHC,Pathfinder Bancorp ,26.7,0.0,0.0,21.4113,2.5808
PEBK,Peoples Bancorp of North Carolina .,9.1,0.0,0.0,41.2546,4.6765
PEBO,Peoples Bancorp ,9.0,0.0,-3.05136,57.8245,2.7231
PFBC,Preferred Bank of Los Angeles,8.7,0.0,0.53942,83.5199,3.5805
PFBX,Peoples Financial /MS,4.2,0.0,0.0,1.0498,0.0
PFIS,Penseco Financial Services ,45.1,0.0,43.50133,30.5232,4.6466
PFLC,Pacific Financial ,11.8,0.0,0.0,0.2972,-7.0247
PFS,Provident Financial Services ,16.8,0.0,96.38095,67.5204,0.7607
PGC,Peapack-Gladstone Financial ,15.8,0.0,47.89189,78.0787,5.8821
RNST,Renasant ,10.4,0.0,0.83333,92.3588,3.8001
PKBK,Parke Bancorp ,8.4,0.0,0.0,46.7842,-0.5744
PLBC,Plumas Bancorp,9.0,0.0,-10.39583,43.4892,6.1385
PNBK,Patriot National Bancorp ,0.0,0.0,0.0,20.3301,-20.8359
PNFP,Pinnacle Financial Partners ,17.9,0.0,13.17852,89.578,2.5169
PPBI,Pacific Premier Bancorp ,13.2,0.0,-20.78788,94.7191,0.2795
PPBN,Pinnacle Bankshares ,7.7,0.0,0.0,3.6038,0.0
PRK,Park National ,16.4,0.0,-3.61588,55.5236,3.2265
PROV,Provident Financial Holdings ,16.0,0.0,2.83019,47.9514,-1.259
PB,Prosperity Bancshares ,14.2,0.0,15.36634,82.8533,1.472
PSBQ,PSB Holdings /WI,10.8,0.0,0.0,6.8165,6.83
PWOD,Penns Woods Bancorp ,12.0,0.0,0.0,29.529,24.9192
QCRH,QCR Holdings ,10.7,0.0,-3.68421,73.707,1.722
QNBC,QNB ,0.0,0.0,0.0,0.0,0.0
RBCAA,Republic Bancorp ,12.5,0.0,6.71785,27.9508,2.3694
SBFG,SB Financial Group ,12.0,0.0,16.27907,53.4767,3.6393
RF,Regions Financial ,11.4,3.04618,15.20619,80.6151,2.6664
BCAL,California Ban,64.5,0.0,660.45455,0.0,2.8689
RVSB,Riverview Bancorp ,152.3,0.0,11.11111,66.3005,-0.0943
SBCF,Seacoast Banking  of Florida,18.2,0.0,11.66667,83.6668,1.4775
SBSI,Southside Bancshares ,10.0,0.0,-2.68041,57.1068,2.5499
SSB,SouthState oration,13.6,0.0,9.2233,68.3213,1.6248
SFBI,SFSB ,0.0,0.0,0.0,0.0,0.0
SFIGA,Star Financial Group ,0.0,0.0,0.0,0.075,0.0
SFNC,Simmons First National ,17.0,0.0,12.97872,72.0482,1.635
SHBI,Shore Bancshares ,10.3,0.0,19.16667,57.9493,1.2855
SMBC,Southern Missouri Bancorp ,11.3,0.0,12.44344,51.5736,2.5868
SNV,Synovus Financial .,15.4,0.0,8.73589,85.5152,-0.0386
SRCE,1st Source ,11.3,0.0,5.37313,72.1251,1.1159
STBA,S&T Bancorp ,10.9,0.0,-9.03226,70.0152,0.1951
STBI,Sturgis Bancorp ,0.0,0.0,0.0,0.0,0.0
TBBK,Bancorp  (The),12.8,0.0,35.48718,74.74,-0.7057
TCBI,Texas Capital Bancshares ,58.4,0.0,340.07812,99.5732,2.6901
TCBK,Tri Bancshares,11.5,0.0,-3.43831,65.4865,3.2719
THFF,First Financial ,12.2,0.0,34.325,75.6652,1.9995
